# Main Transport Data - December 16-23, 2025
# Format: TYPE,ID,DEPARTURE,ARRIVAL,DATE,DEPT_TIME,ARR_TIME,STANDARD_PRICE,PREMIUM_PRICE,EXTRA_INFO

========== DECEMBER 16, 2025 ==========
# Berlin - Munich
TRAIN,IC605,Stuttgart,Cologne,2025-12-20,09:00,11:45,59.90,89.90,IC

# Berlin - Hamburg
TRAIN,ICE806,Berlin,Hamburg,2025-12-20,12:15,14:00,49.90,69.90,ICE

# Hamburg - Berlin
TRAIN,ICE905,Hamburg,Berlin,2025-12-20,09:00,10:45,49.90,69.90,ICE

# Frankfurt - Düsseldorf
TRAIN,IC706,Frankfurt,Düsseldorf,2025-12-20,14:45,16:30,44.90,64.90,IC

# Düsseldorf - Frankfurt
TRAIN,IC805,Düsseldorf,Frankfurt,2025-12-20,10:30,12:15,44.90,64.90,IC

# Leipzig - Berlin
TRAIN,RE106,Leipzig,Berlin,2025-12-20,12:00,13:15,29.90,44.90,RE

# Berlin - Leipzig
TRAIN,RE205,Berlin,Leipzig,2025-12-20,08:00,09:15,29.90,44.90,RE

# Dortmund - Essen
TRAIN,RE305,Dortmund,Essen,2025-12-20,07:00,07:25,9.90,14.90,RE

# Essen - Dortmund
TRAIN,RE405,Essen,Dortmund,2025-12-20,08:00,08:25,9.90,14.90,RE

========== DECEMBER 22, 2025 ==========
# Berlin - Munich
TRAIN,ICE110,Berlin,Munich,2025-12-22,06:00,10:15,89.90,129.90,ICE
FLIGHT,LH1238,Berlin,Munich,2025-12-22,09:15,10:30,119.00,249.00,Lufthansa

========== DECEMBER 23, 2025 ==========
# Berlin - Munich
TRAIN,ICE111,Berlin,Munich,2025-12-23,08:30,12:45,99.90,149.90,ICE
FLIGHT,LH1239,Berlin,Munich,2025-12-23,11:20,12:35,139.00,279.00,Lufthansa
BUS,FLX505,Berlin,Munich,2025-12-23,22:00,07:30,39.00,49.00,FlixBus

========== SUMMARY ==========
Reorganized by date: December 16-23, 2025
Total: 120 trips across all routes
7 dates with full coverage (Dec 16-20 comprehensive, Dec 22-23 limited)
Covers: Berlin-Munich, Hamburg-Frankfurt, Cologne-Stuttgart, Berlin-Hamburg, Frankfurt-Düsseldorf, Leipzig-Berlin, Dortmund-Essen (all bidirectional)
Mix of ICE, IC, RE trains, flights (Lufthansa), and buses (FlixBus, BlaBlaBus)
